seed,min_p_val
958491,3.26520028386623e-06
161754,2.6672052225664086e-09
602315,1.683133286045993e-11
691350,3.2333298585914206e-10
551569,2.2711532512803765e-15
761607,7.130258492642208e-11
76731,5.884908489944781e-11
508502,1.3295139464623933e-09
520834,3.607198087438399e-08
903041,5.16560695713394e-09
390683,1.4758370375944171e-09
262511,5.946277865080142e-12
329274,5.3106001727171815e-12
984374,1.40817240172417e-11
50967,2.90395457305551e-08
455382,6.662906935051815e-08
881260,4.178668346784118e-18
511406,2.2501550436024334e-10
408312,1.7878307973416565e-10
626735,2.9551405412336924e-09
153837,6.198346881289329e-13
163732,9.582837791396184e-11
467492,9.077031772450737e-11
546396,3.805814305910294e-09
121199,2.6887765466424415e-11
540471,3.597481698366997e-11
106844,2.8328471032663036e-11
478654,4.0288471693565256e-11
696257,8.803424579259579e-14
257058,4.416510005100555e-12
981377,5.989653829923232e-14
104209,2.0809338867278192e-11
394694,2.9651107466281493e-09
688946,1.6540603229388449e-10
153857,2.8908552881052942e-11
211467,1.889526445196526e-11
965407,9.786669414542674e-11
589295,3.129170057014488e-14
499467,4.122533588010555e-10
570512,2.062126951068092e-09
813101,7.903334959001946e-12
840280,7.844530316020161e-11
833203,5.178527416304238e-15
321211,1.2977144152443704e-09
931694,1.4111337818234864e-07
742693,7.049079508535078e-12
444874,4.992025990123408e-13
616079,1.3237345625166237e-11
926155,8.087604685520847e-11
271011,3.85187677507781e-09
759516,7.703318022260735e-11
371002,2.450972961662981e-09
417316,1.1444902300650063e-14
730806,1.2815401006233302e-09
312946,4.598972931035696e-10
796233,6.56295881440902e-10
466356,1.8799421687192617e-10
427325,6.905092429117043e-11
63094,3.574748249590704e-12
165028,2.9125821481147297e-10
392048,3.02052613223003e-10
931501,6.144966444527156e-08
671174,2.8094342831856803e-11
854994,1.8227825480271628e-10
770208,1.1395479718151418e-08
97532,2.495731174886511e-12
950183,1.7166730146121314e-10
561494,6.865694038929599e-11
309521,6.80600521017904e-12
311182,2.6615137445086108e-11
404707,6.04665423550648e-10
519043,9.164375593429556e-11
570501,3.047103218026482e-13
729358,1.3827877301846876e-12
367131,3.2113442607401117e-10
390999,9.365834195167073e-12
871598,9.396374211018957e-10
143997,1.0011744019103525e-10
867108,8.155865811829363e-11
396500,3.555957946625754e-09
219592,1.175431188945382e-10
360702,2.534985140571831e-10
85120,7.587538717926603e-17
145895,5.90212947593747e-10
353767,4.528273904937163e-11
238074,6.66579695536419e-11
370783,4.931709787769356e-17
572626,2.7003554145661043e-10
794127,5.449251985665468e-14
380914,3.0825087560612646e-13
198364,1.4970650002194813e-13
381533,1.1509815932371455e-12
890540,1.0624667858602699e-11
737680,9.464021335195262e-13
32119,2.0470537854843854e-12
150100,9.313499568920477e-15
265079,1.355150190709145e-10
612161,1.3988160687416077e-10
801507,6.02861229720003e-11
52337,1.9434489041716317e-12
