seed,min_p_val
922895,2.320707083142033e-07
377836,4.09848051623704e-09
539693,1.7877006825974696e-08
595819,1.699817240307361e-06
574655,9.906533184515528e-07
372001,5.624162378880457e-09
489819,6.572285599914186e-07
36435,1.2986908688086908e-05
736,2.9651888063601875e-08
650707,4.298165859293821e-07
427181,7.826179087020909e-07
855083,9.783633898551538e-07
535482,1.6833250216839322e-06
529288,4.263624961073647e-07
812357,6.458825556706444e-08
503130,3.792475889880395e-08
487228,1.1053403511889e-08
328055,0.00011663355234988991
753658,1.0624999653509145e-07
719334,1.5581961065450364e-10
81191,5.495495677414479e-10
991144,1.8652255474870995e-05
125106,5.180054119972006e-08
782370,1.454107934598311e-07
713602,9.83906314330833e-06
388805,8.655087485647783e-09
136526,6.155121980143404e-06
430689,3.254356867375566e-06
742061,4.355143939129964e-07
419162,3.7456807313238966e-06
502684,3.017100696682736e-07
485823,1.2610541688084494e-08
446155,6.276203397603282e-07
285293,1.3388902454665846e-06
237205,1.2567310233019548e-08
49406,5.712274423770815e-08
251329,2.1833462031147952e-05
878637,1.0827233388159395e-05
522491,2.22268518583868e-06
827642,2.96674432163028e-07
507088,1.407861482824767e-07
695078,2.0364962074240802e-07
689729,2.6904979496104405e-06
758370,3.763623235744043e-06
215434,1.5160854151930816e-08
676020,1.3290845899238374e-05
244360,8.580483473954971e-07
466660,2.199462584387822e-06
77696,2.4472250844891234e-06
79172,2.0666841422642052e-08
272774,7.66706454836043e-07
988777,2.0949316267238954e-08
377213,2.8281439123064283e-08
873973,9.773025327588249e-07
122807,4.2942792463119046e-07
533139,2.496148424539928e-05
775833,1.8628699215849502e-06
458811,4.167480474832568e-08
840889,1.5707361758885919e-06
629148,2.189456720476656e-06
614689,3.15890348454384e-07
748059,3.3695270712437947e-07
90033,1.3533865411946417e-05
676189,2.3244817047853453e-08
656066,3.983887685155883e-08
184843,2.1759491786996968e-11
285826,8.889454975153908e-06
248719,2.084945965679551e-06
589619,1.4744288040902998e-09
139847,4.675386774839312e-07
832508,6.563631200066344e-08
505271,2.1766481932179147e-06
957366,1.3441145973704823e-08
164680,2.199198674138582e-06
935486,1.5461539381742594e-08
824121,6.90957641609106e-07
333679,2.7370918189911174e-07
837485,1.29255675429231e-05
102155,7.723246867456874e-07
659003,3.345257649599587e-07
440414,1.8072122392662644e-05
658608,2.329861054962165e-08
358545,4.50099874239241e-08
662709,7.520928797192259e-10
98114,2.3025058245501666e-07
152452,1.4705467024738503e-06
875541,1.0815370712724814e-06
502000,1.2876828962092612e-06
469478,3.657809882999633e-07
897496,5.77377677583568e-07
839333,1.4449939643896097e-08
456949,2.170496767063812e-06
23486,2.174727957931476e-09
540987,5.844382385182396e-09
604742,7.09023178418947e-08
371415,1.5378557006745406e-06
153191,2.1057851549635232e-06
361437,1.238176304212749e-06
671178,4.3122063838841924e-08
198183,1.648554109335831e-06
