seed,min_p_val
176500,7.71666468342776e-06
480019,2.8722878680612903e-05
417851,3.756803529689984e-05
610100,4.7968561463575024e-08
515532,4.3049708639954577e-07
738849,7.032991165835797e-07
309025,4.1296791095430977e-05
772305,2.2566620772240779e-07
561526,1.9011188613350702e-06
282446,3.671893250002244e-05
986890,3.5996240183640255e-05
752742,0.00018473371562776565
196467,7.424157118239458e-05
191662,3.235866950691195e-05
17466,2.2098551724791723e-06
228453,1.5041455590202429e-05
863608,6.252896241315776e-07
190880,4.5416353354976046e-06
804845,1.9600351055983212e-05
105190,6.505458522832684e-07
966868,1.1106217743276444e-06
609259,1.711127370104851e-05
845553,4.950191642481063e-06
843360,4.228210013284089e-06
823126,1.2554659324680486e-05
157590,2.6429889700036148e-05
147939,4.739732657688599e-06
874525,1.9140710478755103e-06
657575,2.017915559367245e-07
857610,1.1900394982448308e-06
335248,3.978624413939082e-06
299930,7.418231924528302e-05
449520,0.00010197050969383986
975422,2.1980515238675767e-05
999843,4.219326625310339e-07
586729,0.00014862731751439777
805818,3.2959552438785233e-06
361883,2.7968388509141407e-05
443005,4.479556031203266e-05
244428,3.7761045130349023e-06
202270,2.0358177049727273e-05
236688,8.059966992895568e-06
791472,1.7178243072685222e-06
373619,4.4920833410467064e-07
138704,9.575069137977675e-05
898261,1.0084554051665228e-05
183846,3.2048041562499283e-07
307867,2.7382585547895966e-07
67930,2.8189653437919747e-06
458015,5.723981106385929e-05
754893,2.2212381102778015e-05
243318,6.490934758700991e-05
702395,9.714960194480487e-05
890836,1.4831260215574985e-05
490864,9.665289765443783e-06
745737,5.790890122453801e-05
800545,5.065854899418071e-06
542963,1.2478412031742805e-05
555180,9.011604059824112e-07
33792,0.00024782056766438755
700210,1.1127257766653339e-06
286853,0.00023945557013355624
723698,4.873255596273473e-06
987820,2.519881900796378e-06
813,3.7172815733267e-05
892515,7.19090661151938e-05
320906,1.0355167113030885e-05
803295,1.804645994822665e-05
332898,1.6601602553758203e-08
493201,2.22979461006925e-05
898601,6.279739794576467e-05
399107,4.570060768744206e-06
86795,0.00011359281381496494
904062,2.193368882521093e-05
250286,7.49207661358826e-05
896283,1.5367232746714307e-05
405362,1.4399426987201625e-06
195898,0.0001154474474678968
643614,8.823807252899924e-09
383647,3.714478017804832e-06
286008,4.46204561617287e-08
417382,4.8248043954271324e-05
290434,1.580943480196053e-05
301500,9.222885190916302e-05
465857,2.592910876519051e-05
711443,2.314637838532771e-07
140211,4.364380746401402e-06
325819,6.773766022885184e-08
980436,1.1563093625019759e-07
854694,2.317113021774035e-07
626456,1.4566496699998112e-05
585742,1.854590575820678e-07
497673,2.2837395468842257e-06
915808,5.9118065214515305e-06
918734,1.684399287714054e-06
999614,8.898096363960506e-05
564088,2.6232837447594576e-05
708405,7.215546489623019e-06
65917,1.3933810413346735e-06
142722,7.001167111919274e-07
