seed,min_p_val
935083,3.0394710806810956e-07
359290,7.905414747650154e-05
363445,1.5030499898827626e-05
193180,1.5678978406642744e-05
44711,3.793546469427639e-08
814489,1.473170361403251e-07
312254,1.2573354424305368e-05
634904,3.292699579814054e-05
734821,1.1128341843230539e-08
564621,3.242012483259334e-05
639659,2.0838392046653677e-07
42614,4.886452590601177e-06
247216,3.5057783783978906e-07
13577,1.617671798267461e-05
496342,4.7352212322897614e-06
679589,8.58627349645065e-05
369006,1.71638046363573e-05
90746,1.3881889848242742e-05
297686,7.687386421278508e-06
349047,7.212928837843543e-06
432899,3.739453172426168e-05
964011,5.606924969917289e-05
565828,4.5044515565997214e-07
936693,1.2066865320565177e-06
561012,4.810560785753975e-07
264815,9.623694508307886e-05
747784,8.586854706655503e-06
751300,1.0362933498836608e-06
268465,2.4873652061614287e-06
988418,6.055259057699097e-06
668851,4.960457525048113e-05
159330,1.7963632243391122e-08
260663,5.6678406137308295e-05
117399,2.7907997675116644e-06
40516,6.357187223250212e-07
607583,1.0198026308184234e-05
275990,1.0639582765328222e-08
952242,2.217250502460379e-05
694850,1.1723823007893526e-05
672839,3.3800238893180117e-06
448564,1.5417897540213462e-05
133042,7.2034350460880014e-06
639202,7.691768895823068e-05
987360,2.2502252958426077e-06
522288,1.2880065153688653e-05
151683,5.497321721474939e-06
517758,0.00013279840355787228
162672,3.1199880670899026e-06
947274,1.0761670396811334e-05
595723,3.4923721831542936e-06
691711,7.376313171150117e-06
486164,2.848754124743529e-05
469043,5.334348550605732e-07
41225,2.7326626623160318e-05
628247,1.5104105135866424e-06
208218,2.511057174148315e-05
239817,9.781715444811951e-05
892158,5.033920134347164e-05
604022,4.223497843667808e-05
570331,4.60841376462048e-06
317434,2.6948544064559474e-05
909398,4.1087454429785895e-06
372932,1.4559455719774457e-05
709126,2.112363740667645e-05
402250,7.012982565299269e-05
130834,4.271618474574775e-06
183954,4.502124768320782e-05
231468,3.3927071656512758e-06
448845,9.249583195911626e-05
589703,1.5331447772567644e-05
545777,4.508447781063527e-05
937962,1.1252391953877014e-05
84721,6.02835397975909e-06
419243,1.0547737431917638e-06
425120,1.6440183322127896e-05
17504,5.113653165367707e-05
249133,7.755640930139787e-06
929693,1.0628778916522357e-05
375156,1.6540269679845446e-06
984966,1.9786776802497436e-06
67385,0.0002168517242531733
197259,0.00010461261031437652
297600,5.534696487356596e-06
18400,3.276392923988402e-07
81285,1.8614886323648482e-05
160585,2.5373194591080705e-05
714948,1.3603743903419059e-05
199343,4.296955097440319e-06
796646,0.0004913399885983307
963905,3.202994028383276e-08
610025,4.708777007705476e-06
325864,2.557702506580855e-06
224265,7.068521141757259e-08
964536,3.04695597987522e-05
693869,4.5717772315828806e-05
157088,1.562686387006562e-05
760457,2.484504287237587e-05
990857,1.1845778110244833e-09
602965,1.1588747557588667e-05
974113,2.6118236615299e-07
