seed,min_p_val
288305,1.137867164616855e-06
10447,2.1124627367262527e-05
142425,5.445839587014146e-06
495831,1.7696824329606815e-06
945462,1.7261078350386864e-05
473909,0.00014757267574813196
792755,1.709178512093012e-07
333250,9.059266270032874e-11
841667,4.258420230418179e-05
199091,4.801817463069699e-07
634861,3.461834498019909e-09
733601,1.6248421269889474e-05
192991,1.7076544177369836e-05
829590,1.9221176301804828e-05
551916,1.2252432907424505e-07
430725,7.450129979035601e-11
51562,7.775720285622002e-12
899991,3.9957376591057604e-05
303065,2.908494389885368e-05
86885,6.112370905690363e-10
775861,2.4985172071131845e-08
619965,2.6302296652978745e-07
435172,1.2210966064503806e-06
694882,0.00012424354891577547
11676,3.214667336729744e-09
486213,4.2179906031428e-07
537556,1.4754011088074882e-08
773314,5.857172858607125e-07
150363,3.387983056253651e-08
18301,8.060578128353154e-05
865136,4.470892268915526e-10
984562,3.258852349682721e-10
363166,4.061607302397063e-07
699879,1.0479056995977838e-08
966328,1.1356142487285873e-09
212902,1.012692477502791e-09
938948,7.205957611113028e-07
296844,9.897399304969479e-09
660891,2.1006271550248056e-07
842714,4.945434024637869e-07
957460,1.1961894277686646e-05
21740,3.0071393721518255e-09
208053,1.798711474204718e-06
388659,1.3323273629679752e-09
998452,2.5450875120371217e-08
522314,1.265056310489709e-08
528899,4.7589076501102324e-08
309554,9.000466790358888e-05
198694,5.991163493094206e-10
330748,1.1158468795354042e-05
474892,3.4094432783833673e-10
990939,6.588380384936312e-06
563010,9.75895698017307e-09
548967,2.3042266199803373e-09
266088,3.214605332830417e-06
374082,3.55598126837704e-05
391938,6.063056123776688e-10
980853,3.917322832511577e-09
434777,2.3035831732284102e-05
794777,1.3382996003162611e-06
755252,1.2648995362856444e-08
50955,2.189596041271393e-06
483884,4.272581553592002e-09
346766,2.011633869018944e-07
616740,1.3090514373005794e-10
589122,1.7531155522873012e-06
302581,6.393592879673331e-06
377031,1.2692753942495848e-10
30769,2.1421087256630738e-07
722580,8.013071280351853e-09
853728,8.371958233599047e-08
273260,2.1723236013218753e-09
752987,6.108119760154576e-07
811399,6.778222117723508e-08
511178,3.8065890200693255e-06
116956,2.6270136071036773e-07
536332,0.00012325493383492792
106050,6.502089659072238e-08
623988,7.949529868912878e-05
605175,4.593165456051305e-06
582152,2.69143603074803e-07
101475,2.11143686669157e-09
848937,1.0651704957562007e-06
175943,8.512003070768135e-10
332800,9.484115869304256e-06
800587,3.4546490615214467e-07
943893,1.1046439534131732e-06
780272,2.328658728204509e-08
850957,7.901001120997271e-06
36919,3.0241771690097457e-05
914201,4.447521177292862e-08
862244,1.8122599711384323e-05
828997,2.237385322658791e-09
926245,2.4714794953698405e-09
860086,5.9074877791692336e-08
336513,6.93895801590797e-10
737296,2.564003869663436e-06
330250,1.0282276374735963e-08
181366,6.551908527261775e-05
991310,1.3576276591505215e-07
