y_ID,narrow_sense,bonferroni_5,perm_5,num_individuals
Y82,4.5397870662530495e-05,2.168444791395611e-06,1.5479889727565264e-08,41
Y636,0.5766921874259618,2.1683507524177113e-06,2.7889952082816138e-06,327
Y105,0.4799709545290532,2.1683507524177113e-06,5.6735383349487975e-06,27
Y542,0.6892320652176964,2.1683507524177113e-06,1.877504874834448e-07,327
Y535,4.5397870662530495e-05,2.1683507524177113e-06,5.112413260671812e-06,337
Y548,0.6600499135749133,2.1683507524177113e-06,2.520180343903822e-06,327
Y632,0.8860094173865132,2.1683507524177113e-06,1.6563220115748148e-06,324
Y748,4.5397870662530495e-05,2.1683507524177113e-06,5.166529226984426e-06,190
Y68,0.02232793869044267,2.1683507524177113e-06,4.472999495314777e-06,26
Y275,4.5397870662530495e-05,2.1683507524177113e-06,6.2024920272541144e-06,70
Y378,0.9149459997991193,2.1683507524177113e-06,1.3121895402955721e-14,34
Y15,0.033110467845457764,2.1683507524177113e-06,5.648285009604959e-07,29
Y372,4.5397870662530495e-05,2.1683507524177113e-06,2.065332503222937e-08,34
Y291,4.5397870662530495e-05,2.1691032926987986e-06,2.0617699203153474e-06,35
Y638,0.6807793227944401,2.1683507524177113e-06,4.229011118543024e-06,327
Y742,4.5397870662530495e-05,2.1683507524177113e-06,4.997791744402731e-06,56
Y735,0.00918051986283922,2.1683507524177113e-06,6.417262538507257e-06,57
Y546,0.7890781633531859,2.1683507524177113e-06,1.5378163669167554e-06,327
Y531,4.5397870662530495e-05,2.1683507524177113e-06,1.954520899047535e-06,337
Y101,0.39718384157409753,2.1683507524177113e-06,1.7866055629985063e-05,27
Y7,0.8105038529600513,2.1683507524177113e-06,1.1512213455873183e-08,25
Y600,0.7607010473246483,2.1683507524177113e-06,3.2836421901296707e-06,327
Y699,4.5397870662530495e-05,2.1683507524177113e-06,3.7662605280979177e-06,139
Y707,0.012510407096128245,2.1683507524177113e-06,6.558974602214875e-06,436
Y50,4.5397870662530495e-05,2.1683507524177113e-06,1.5706037585175634e-09,29
Y27,4.5397870662530495e-05,2.1683507524177113e-06,4.901307854137298e-06,29
Y590,0.3742550042722867,2.1683507524177113e-06,3.262007417879227e-09,327
Y1269,4.539787066253049e-05,2.1683507524177113e-06,2.4670736073247303e-12,42
Y139,0.023695001045066243,2.1683507524177113e-06,3.7077844136194843e-06,80
Y1313,0.20326457582641597,2.1683507524177113e-06,5.070932421445087e-06,41
Y1287,4.5397870662530495e-05,2.1683507524177113e-06,1.998485696568614e-06,42
Y133,4.5397870662530495e-05,2.1683507524177113e-06,2.7806493576184902e-06,78
Y574,0.5195770452178615,2.1683507524177113e-06,1.3639477628653693e-06,327
Y751,0.013420096376858894,2.1683507524177113e-06,1.1568884947420923e-09,149
Y726,0.008197108095397842,2.1683507524177113e-06,1.0920246556627145e-13,57
Y71,4.5397870662530495e-05,2.1683507524177113e-06,7.07940458005828e-08,27
Y361,4.5397870662530495e-05,2.168444791395611e-06,5.330275460789316e-06,33
Y316,0.6491597460523992,2.168915108662647e-06,1.7071705826843753e-06,36
Y282,4.5397870662530495e-05,2.1683507524177113e-06,1.945134407965763e-07,70
Y95,4.53978706625305e-05,2.1683507524177113e-06,2.218172798902914e-06,27
Y385,0.05500512697793742,2.1683507524177113e-06,7.772039906284044e-07,35
Y621,0.8730887856708105,2.1683507524177113e-06,4.125942454937209e-06,327
Y112,0.012891591003015226,2.1683507524177113e-06,2.5069589683784167e-06,95
Y555,0.7929306885090147,2.1683507524177113e-06,4.06569858627563e-06,327
Y522,4.5397870662530495e-05,2.1683507524177113e-06,1.8961056258805245e-06,337
Y528,0.0023237773019777275,2.1683507524177113e-06,2.8252426114392295e-06,337
Y118,0.003269854655085199,2.1683507524177113e-06,9.234061012615869e-09,95
Y353,0.07877691327588898,2.1683507524177113e-06,4.115975663932557e-06,34
Y43,4.539787066253049e-05,2.1683507524177113e-06,6.428494994409234e-08,26
Y34,4.5397870662530495e-05,2.1683507524177113e-06,6.066386622364556e-08,53
Y619,0.7767295823692358,2.1683507524177113e-06,2.7304104176811917e-06,327
Y613,0.8267291110318751,2.1683507524177113e-06,1.2553784123325736e-06,327
Y359,0.0945153437196659,2.1683507524177113e-06,3.4392086316934787e-06,34
Y589,0.8185704266812563,2.1683507524177113e-06,3.2787479332661888e-06,327
Y567,0.9259315390280403,2.1683507524177113e-06,6.444476787977594e-07,327
Y1270,0.2329764149841048,2.1683507524177113e-06,1.2379845463056914e-07,42
Y120,4.5397870662530495e-05,2.1683507524177113e-06,1.3850923310432945e-06,71
Y1294,4.539787066253049e-05,2.1683507524177113e-06,1.6076213733111213e-07,47
Y583,0.005613230565412326,2.1683507524177113e-06,1.1638342715913276e-14,327
Y560,0.6011671853306437,2.1683507524177113e-06,4.784729752862361e-07,327
Y127,0.27542188737823503,2.1683507524177113e-06,7.468938730640718e-06,88
Y1277,4.5397870662530495e-05,2.1683507524177113e-06,2.329805517613862e-06,47
Y1293,4.5397870662530495e-05,2.1683507524177113e-06,1.229534485379568e-09,47
Y1307,4.5397870662530495e-05,2.168444791395611e-06,6.969666064297508e-06,52
Y584,0.706816749235748,2.1683507524177113e-06,2.9886141625982585e-06,327
Y354,4.5397870662530495e-05,2.1683507524177113e-06,1.4132086842891457e-05,34
Y33,0.05652978537497259,2.1683507524177113e-06,5.893618564021481e-06,27
Y44,0.3798076601669485,2.1683507524177113e-06,8.904885945430189e-06,25
Y614,0.8557940541828734,2.1683507524177113e-06,4.503250709264966e-07,327
Y719,4.5397870662530495e-05,2.1683507524177113e-06,8.991512027021443e-06,57
Y39,0.3826321986019684,2.1683507524177113e-06,7.6187545768199865e-06,29
Y115,0.1746430244971382,2.1683507524177113e-06,4.69336063959391e-06,92
Y525,4.5397870662530495e-05,2.1683507524177113e-06,3.7854222433504724e-07,337
Y552,0.7958196502388172,2.1683507524177113e-06,2.9333421997731524e-06,327
Y558,0.3489909287998261,2.1683507524177113e-06,9.509314108893326e-13,327
Y721,0.14554446580866723,2.1683507524177113e-06,1.6532771452273745e-06,57
Y76,4.5397870662530495e-05,2.1683507524177113e-06,8.238759537314753e-06,27
Y98,4.5397870662530495e-05,2.1683507524177113e-06,3.5593726540397875e-06,27
Y388,0.05982922592767514,2.1683507524177113e-06,4.3250162134848285e-06,275
Y285,4.539787066253049e-05,2.1683507524177113e-06,6.2131190141414075e-06,70
Y366,4.539787066253049e-05,2.168444791395611e-06,5.853387204653369e-07,33
Y382,0.013173261490671115,2.1683507524177113e-06,9.835901328571988e-06,35
Y626,0.848793308227703,2.1683507524177113e-06,8.25177941843706e-06,327
Y597,0.8615750419977749,2.1683507524177113e-06,5.319414079348818e-06,327
Y579,0.559288111473154,2.1683507524177113e-06,8.56846177405212e-06,327
Y1280,0.045522626730052584,2.1683507524177113e-06,4.863829397709025e-06,47
Y1314,4.5397870662530495e-05,2.1683507524177113e-06,6.799824205464963e-07,41
Y134,0.07761841069950808,2.1683507524177113e-06,2.2592155203992354e-07,95
Y573,0.6461911333053446,2.1683507524177113e-06,1.360801508897508e-06,327
Y607,0.31567733755914,2.1683507524177113e-06,9.991315900804545e-15,327
Y700,0.052111171590385585,2.1683507524177113e-06,1.6649405363582746e-06,458
Y20,4.5397870662530495e-05,2.1683507524177113e-06,3.726345979912367e-13,29
Y536,0.010965628840760794,2.1683507524177113e-06,6.194835147178619e-17,282
Y541,4.5397870662530495e-05,2.1683507524177113e-06,5.758005683374187e-14,274
Y106,4.5397870662530495e-05,2.1683507524177113e-06,3.0984604017582944e-08,26
Y738,0.025559933655175192,2.1683507524177113e-06,1.714808063849267e-06,57
Y635,0.6000207700455839,2.1683507524177113e-06,2.668153041877476e-06,327
Y81,0.024807110985333513,2.1683507524177113e-06,5.559270900524136e-06,27
Y272,4.5397870662530495e-05,2.1683507524177113e-06,1.5750713272635592e-06,70
Y391,0.2882559101268343,2.1683507524177113e-06,2.3825231922367083e-06,281
Y65,0.030590108697590473,2.1683507524177113e-06,2.8520051291092828e-06,27
Y375,4.539787066253049e-05,2.1683507524177113e-06,1.0924983816447868e-06,34
Y278,4.5397870662530495e-05,2.1683507524177113e-06,4.4317990507696804e-06,70
Y732,0.025750454271377798,2.1683507524177113e-06,2.9656492701205737e-06,57
Y745,0.07976502877803739,2.1683507524177113e-06,9.137895743234735e-07,48
