y_ID,narrow_sense,bonferroni_5,perm_5,num_individuals,num_significant_pvalues
Y564,0.3626736189409957,2.1683507524177117e-06,3.66017740082952e-11,327,0
Y610,0.466297876247606,2.1683507524177117e-06,3.7056813305277513e-06,327,2
Y717,4.539787066253049e-05,2.1683507524177117e-06,4.945070413157219e-06,57,2
Y37,4.53978706625305e-05,2.1683507524177117e-06,7.457036923720238e-07,48,2
Y40,4.5397870662530495e-05,2.1683507524177117e-06,2.479509748382689e-06,26,0
Y617,0.8150669128960731,2.1683507524177117e-06,4.2122285381034965e-06,327,5
Y47,4.5397870662530495e-05,2.1683507524177117e-06,1.0478294376153331e-06,48,1
Y320,0.4254598406122383,2.168915108662647e-06,4.367410906140233e-06,36,0
Y357,4.539787066253049e-05,2.1683507524177117e-06,5.362884015773213e-06,34,0
Y569,0.9004209114585562,2.1683507524177117e-06,3.1363353907050365e-06,324,25
Y587,0.7261770493983122,2.1683507524177117e-06,1.0031728947220553e-06,327,10
Y1290,4.5397870662530495e-05,2.1683507524177117e-06,7.366642635049798e-12,47,0
Y124,4.5397870662530495e-05,2.1683507524177117e-06,1.2571609993549355e-05,73,1
Y1274,4.5397870662530495e-05,2.1683507524177117e-06,4.7458524289854515e-11,47,0
Y563,0.8196653061007096,2.1683507524177117e-06,3.259308437211933e-07,327,3
Y625,0.8583487569409317,2.1683507524177117e-06,2.8788242458910203e-06,327,6
Y728,4.5397870662530495e-05,2.1683507524177117e-06,1.605207840682746e-09,57,0
Y381,4.5397870662530495e-05,2.1683507524177117e-06,3.730678511259281e-06,35,0
Y318,0.3803248079443442,2.168915108662647e-06,1.0111879140064224e-05,36,0
Y91,0.1000158878607941,2.1683507524177117e-06,7.547224113600932e-07,27,0
Y365,4.5397870662530495e-05,2.168444791395611e-06,1.7590168326324553e-08,33,0
Y286,0.0021370052172764,2.1683507524177117e-06,9.61685164622112e-08,70,0
Y722,4.5397870662530495e-05,2.1683507524177117e-06,2.753989785802725e-06,57,0
Y551,0.7002896423353265,2.1683507524177117e-06,4.313806438775477e-06,327,15
Y526,0.0488569784897322,2.1683507524177117e-06,3.0270718658624235e-15,337,0
Y116,4.5397870662530495e-05,2.1683507524177117e-06,1.4677101620837474e-06,95,0
Y54,0.1130350712646329,2.1683507524177117e-06,1.7954599183400656e-06,27,1
Y23,4.53978706625305e-05,2.1683507524177117e-06,1.054507185620317e-06,27,0
