Phenotype,Gene,Effect Size,p-value
Y603,AT3G20230,-0.0004406985324169,2.9122918615168265e-06
Y603,AT4G00270,-0.000971277433922,4.469624792961062e-07
Y603,AT5G24850,0.0011310450058013,5.88808810017835e-07
Y556,AT1G16900,-0.0542743921141671,5.516373451299409e-07
Y556,AT1G20225,-0.041860430667793,5.766110561607142e-07
Y556,AT1G45015,-2.1736492184724066,2.801691893595889e-08
Y556,AT1G47915,-1.055876002205744,2.1339713999779985e-07
Y556,AT1G47920,-0.1365128642668966,1.1613770938680328e-06
Y556,AT1G78320,-0.155061079848769,7.193875069465475e-08
Y556,AT2G04340,-0.1039291517277233,1.643019728340029e-06
Y556,AT2G19050,-3.156268424171845,1.178363348693785e-06
Y556,AT2G26975,-0.0551093522128065,1.497164403025694e-06
Y556,AT2G44210,-0.0134922945769472,4.8599246604143434e-08
Y556,AT2G45135,-0.2320123982639422,1.4014767140604592e-06
Y556,AT2G46710,0.0340230243050714,6.219007430145434e-07
Y556,AT3G14330,-0.1561157469283784,1.7274396624414161e-07
Y556,AT3G23050,0.0085141644014558,1.705061402706482e-06
Y556,AT3G45940,-0.0932040245187116,3.881818344235957e-07
Y556,AT4G00525,-0.4293699210041053,2.590931762826005e-08
Y556,AT4G01890,-7.118478251502803,3.0993664388070826e-07
Y556,AT4G10160,-0.7699832197349847,4.442399696281579e-07
Y556,AT5G11290,-4.911966703284531,2.345811525319299e-09
Y556,AT5G11410,-0.5326917636009757,1.2439998846837612e-07
Y556,AT5G64880,-0.1311442787661305,7.837008575853242e-07
Y556,AT5G66150,-0.2988520002752692,9.449161638856952e-07
Y111,AT1G08160,0.0131524737003118,2.9902079601637288e-06
Y111,AT1G23830,-0.0161732331468071,1.77671641934903e-06
Y111,AT4G28500,0.0535885753644589,4.0979359412647935e-06
Y111,AT5G12870,0.0663824378731077,2.64899995178942e-06
Y622,AT2G47680,-0.0577267445872591,5.343841950084274e-07
Y622,AT4G20210,0.0038940687393189,6.897674230883434e-08
Y752,AT3G30320,0.064298886367046,3.8031372925651675e-07
Y628,AT1G20225,-0.0439423836039057,6.365086569448674e-07
Y628,AT1G45015,-2.2052602810159594,9.215498645854341e-08
Y628,AT1G47915,-1.1907572210419972,2.6577882968345413e-08
Y628,AT1G47920,-0.1572244010880574,9.686164040767521e-08
Y628,AT1G78320,-0.1675182675669144,3.11243573591199e-08
Y628,AT2G04340,-0.1117286326596357,9.677167229484922e-07
Y628,AT2G12935,-0.1786842332668937,5.90824278299071e-07
Y628,AT2G19050,-3.4499497985364727,4.459669962635989e-07
Y628,AT2G26975,-0.0623430457545717,2.2769147695780617e-07
Y628,AT2G44210,-0.0142039373415945,5.3049331700519717e-08
Y628,AT2G45135,-0.2605417819564342,2.526306797951379e-07
Y628,AT2G46710,0.0365799330608168,4.1553044565668425e-07
Y628,AT3G14330,-0.1688202801248469,9.104937505602463e-08
Y628,AT3G45940,-0.1028994146714648,9.983777315307957e-08
