Phenotype,Gene,Effect Size,p-value
Y115,AT1G02335,-0.0105463535350227,1.4436671802098422e-06
Y115,AT1G08340,-0.0384120112512789,4.358093767539409e-06
Y115,AT1G20850,-0.0044410483941351,8.341620614769684e-07
Y115,AT1G26820,-0.0190345166050974,1.496433926710544e-06
Y115,AT1G32100,-0.0071201860734456,9.508398458154538e-07
Y115,AT2G27740,-0.0375990835987834,4.645503545677243e-06
Y115,AT2G40320,-0.034073966625226,1.78429102054195e-07
Y115,AT3G55990,-0.0190651197358531,4.413756537930778e-08
Y115,AT4G14010,-0.0156186181323827,1.1466052345595487e-07
Y115,AT4G24250,-0.0794722678057189,3.2327697460144283e-06
Y115,AT4G33330,-0.0760878942285672,2.635700232067667e-06
Y115,AT5G10140,0.0005829217650266,4.227290070108324e-07
Y115,AT5G12870,-0.0972713088562549,1.0376067623815369e-06
Y115,AT5G63120,-0.0117817176285533,4.832567917480985e-08
Y525,AT2G19190,0.0005343442967964,3.3661846095009156e-08
Y552,AT1G59700,0.0003018221630849,2.1931757323700595e-06
Y552,AT3G16090,0.0014152985245713,2.168481826809927e-06
Y552,AT3G18070,-0.0013431243649058,1.5461313346129394e-06
Y552,AT4G16545,0.0529438502384041,7.977500952613397e-07
Y552,AT4G18593,0.0020139341167066,1.120785328823518e-06
Y552,AT4G38590,0.0232131336950266,2.926096751765505e-06
Y552,AT5G10200,-0.0014775704694778,1.7106926631691338e-06
Y552,AT5G18830,0.0013825896475929,2.30409672643978e-07
Y552,AT5G20890,-0.0004203194271917,4.367621657184714e-07
Y552,AT5G23210,-0.0001375020545424,2.930996377179953e-06
Y552,AT5G24850,-0.0010811052040203,3.951678804802775e-10
Y552,AT5G48370,-0.0013667003128137,2.762114391647193e-06
Y98,AT4G37180,-0.0097425033159886,2.089147108919819e-06
Y388,AT5G07690,-0.0180638459138137,1.7809691197374627e-06
Y388,AT5G10140,-0.0066686624248604,3.6541474419957403e-07
Y388,AT5G63120,0.1444170005846994,1.7960381086113018e-06
Y626,AT1G06380,0.1574083653257072,5.232467904029722e-06
Y626,AT3G57230,-0.0808487243574971,9.655074023921674e-07
Y626,AT4G20210,0.0046857102331765,3.7039185458864396e-09
Y626,AT4G35930,0.0591339753623626,4.876938194427083e-06
Y626,AT5G10200,0.1066010850702845,2.681278171259969e-07
Y626,AT5G24850,0.0573945665739747,8.257934827608249e-07
Y597,AT1G14890,0.0007606000204455,1.9304164197069185e-07
Y597,AT1G61990,0.0008492957767332,8.532078657554942e-07
Y597,AT2G04340,-0.001266592383448,4.785049896545995e-06
Y597,AT2G22800,0.0007321956940324,4.632691130120139e-06
Y597,AT2G47680,-0.0010200803635408,2.1736197320356962e-07
Y597,AT3G20230,-0.0003614451896615,1.352922132218182e-06
Y597,AT4G00270,-0.0007003355507477,5.030674903883397e-06
Y597,AT5G24850,0.0008243416498837,4.911235952831105e-06
Y579,AT1G64930,0.0021187821256418,5.8670147216620615e-06
Y579,AT2G36540,4.318246960278276e-05,9.666406520883304e-07
Y579,AT4G32450,0.0035986492049586,3.1113865837267764e-06
Y579,AT4G38230,0.0018796226207652,6.767323122452326e-06
Y579,AT5G20450,0.0020535403290488,2.106389488384106e-09
Y579,AT5G24850,0.0007112424543229,1.1549770868928918e-06
Y134,AT1G42680,0.3894624059794946,3.532574420136697e-09
Y134,AT2G15080,0.0212431395495026,3.1841270164296433e-08
Y134,AT2G20440,-0.164892525358647,3.4103336402833146e-08
Y134,AT2G28550,0.0149639768492552,2.476225676408066e-08
Y134,AT2G38195,0.5294681552343167,1.1228048284887405e-07
Y134,AT2G40520,0.0479089548938521,2.121335848944128e-09
Y134,AT3G57110,0.8721467832483679,1.3965861563938889e-08
Y134,AT5G10140,0.0064647525560879,7.532729828081275e-11
Y134,AT5G44400,0.0552854497297854,6.991496156430897e-08
Y134,AT5G63120,-0.1186824769092219,4.0843993646809546e-11
Y573,AT1G14890,-0.0099663649616922,1.5945374005335224e-08
Y573,AT2G20440,-0.0305206488232018,3.204223939725177e-08
Y573,AT2G45660,-0.0019908655995192,3.624965703045587e-07
Y573,AT3G02010,-0.0385385156523473,1.0936585486096524e-06
Y573,AT3G03590,0.04066166915949,8.751673080727717e-07
Y573,AT3G13190,-0.0190648212084852,1.6289170101899436e-08
Y573,AT3G13680,-0.1551494867332649,5.8294801266230376e-08
Y573,AT3G16900,-0.0644149676741332,9.086455696431304e-07
Y573,AT3G52480,-0.0293697575163517,1.1083487013296989e-06
Y573,AT4G15330,-0.0172745692701542,9.693666166481336e-09
Y573,AT4G20210,-0.0009479716489847,9.335807531954906e-10
Y573,AT5G04000,-0.0657417517230008,6.772519804633183e-07
Y573,AT5G22860,-0.0081965899913658,4.579465687687204e-08
Y573,AT5G63120,-0.0189754421578747,4.450430372489383e-08
Y635,AT1G80555,-0.080104285133468,2.144318953187424e-07
Y391,AT2G20440,-0.0253377209717069,5.0408821692071065e-09
Y391,AT2G28550,0.0016178843188588,2.0416665805660045e-06
Y391,AT5G10140,0.0006129105540823,1.7031541294840417e-07
Y391,AT5G63120,-0.0142042561590403,4.659536839386962e-07
Y745,AT2G02840,15.523873349370172,1.2105304701278006e-07
Y702,AT1G09530,-0.0313674167893362,1.0053481995765802e-09
Y702,AT1G23870,-0.0130226909104553,1.3583668784070908e-07
Y702,AT1G35180,-0.1540849987713104,1.721139850589628e-11
Y702,AT1G80960,0.0288455706263442,1.662883691963952e-06
Y702,AT2G20440,-0.0983969951456534,1.368520329335722e-12
Y702,AT2G45660,-0.005654803305026,2.568836633268005e-11
Y702,AT3G02780,0.0143435856991441,7.757288412845394e-07
Y702,AT3G05670,-0.0401283551188288,1.3964289974993966e-06
Y702,AT3G10150,-0.1163517375762607,8.373899897837966e-07
Y702,AT3G19150,-0.0391910329380736,1.0614986685209805e-06
Y702,AT3G52480,-0.0901476435010289,1.3328751816064349e-08
Y702,AT3G57230,-0.0409058992706261,3.135333891239673e-07
Y702,AT3G57920,-0.1625246751620278,3.2784408772524057e-07
Y702,AT4G24540,-0.0291012202314274,9.457659380830993e-09
Y702,AT4G33625,-0.0123661898220653,2.126278160355149e-07
Y702,AT5G06250,-0.3035315153351994,1.2059012805425675e-06
Y702,AT5G10140,0.0023233212744965,3.708757400773494e-11
Y702,AT5G24150,-0.0045352056904698,3.055132017817987e-07
Y702,AT5G25900,0.0127314102226836,2.6692099959705175e-07
Y702,AT5G55120,-0.0173392399224754,1.46417728121742e-10
Y702,AT5G56380,0.0138497225848145,1.9925688874193118e-07
Y702,AT5G60910,-0.0587211851592574,7.053191097468384e-07
Y702,AT5G63120,-0.0937070523471596,5.194522135254889e-21
Y595,AT1G14890,0.0003052557455601,2.9442845322404705e-12
Y141,AT2G20440,-0.2661643601443675,9.622572589342781e-08
Y141,AT5G63120,-0.1564332455498979,7.691651605161877e-08
Y136,AT2G20440,-0.1781675930881945,4.8345573042989464e-08
Y571,AT3G03420,-0.1767215140912143,2.916242604102948e-07
Y571,AT5G21105,-0.0108453178018863,1.3536893654208855e-06
Y637,AT1G80555,-0.0835176552448626,7.249292351794332e-08
Y294,AT5G60620,-0.1073394742065623,7.360146270356918e-06
Y89,AT1G26150,0.0348896858533051,7.333847330415926e-08
Y89,AT3G47090,0.1849824424473511,9.844385437322994e-07
Y89,AT3G57110,1.6130338394187993,3.9753107965085e-07
Y89,AT5G10140,0.0202287167538013,2.1111288348402457e-08
Y549,AT1G47915,-0.0102850035901334,3.380930369315293e-08
Y549,AT2G43980,-0.0003937130262587,6.524274000588158e-08
Y543,AT3G24516,0.0008788984333596,2.6139171745416084e-08
Y543,AT4G03050,1.5122880745242332e-05,6.674795265718402e-08
Y616,AT1G14890,0.057078993998533,3.7596233202659803e-07
Y616,AT1G47915,-1.1951505386164691,1.2653844629499683e-09
Y616,AT1G47920,-0.1539882273750264,1.2816364572403517e-08
Y616,AT1G78320,-0.1539377772414715,3.4506630648237385e-08
Y616,AT3G23050,0.0082958243953881,1.0205846178687488e-06
Y616,AT3G45940,-0.1011101606662401,1.9794094779444537e-08
Y616,AT3G61950,-0.1292470918562046,8.761693872917342e-07
Y616,AT4G00525,-0.376172764726104,7.090893521548127e-07
Y616,AT4G01890,-7.020886883445173,2.6379746415617485e-07
Y616,AT5G11290,-4.077140978439106,5.080432726416917e-07
Y616,AT5G11410,-0.5387393335487329,4.7769488027860944e-08
Y125,AT3G57110,0.420661275633189,1.0951124665336433e-07
Y125,AT5G10140,0.0028907012482038,1.217940432156699e-07
Y125,AT5G63120,-0.0595317225846988,1.4258603258856685e-08
Y568,AT1G06380,0.1647875972396122,2.479207491148032e-06
Y568,AT1G77670,0.028544289146599,4.378728202577866e-06
Y568,AT3G57230,-0.0825456267385734,8.057469241302584e-07
Y568,AT4G20210,0.0047191972000439,4.285637616995346e-09
Y568,AT4G35930,0.0649463908551537,6.225468226917577e-07
Y568,AT5G10200,0.1098643667614614,1.6925261545577738e-07
Y568,AT5G24850,0.0597041983679872,3.977488486520526e-07
Y586,AT1G03970,-0.0050584529531455,2.999020982979379e-06
Y586,AT1G14890,-0.0005674999698028,4.668944371628781e-06
Y586,AT2G04170,-6.534887799128175e-05,3.396955450271368e-06
Y586,AT2G16370,0.0005947010393033,1.3707175557621712e-06
Y586,AT3G13580,-0.0003785814587437,4.903042242064103e-07
Y586,AT4G38360,0.0009153283274604,4.78926058770165e-07
Y586,AT5G18830,0.0011426737605501,1.0896229071530338e-06
Y586,AT5G24850,-0.0009798949576584,9.135332194914736e-11
Y586,AT5G60830,-0.0008135283813302,4.401978001774555e-06
Y624,AT2G23610,0.0078725280821642,2.149037230244885e-06
Y624,AT3G57230,-0.0735906547515824,2.9428870068301134e-07
Y624,AT4G20210,0.0040836178338843,4.966454045585626e-09
Y624,AT4G35930,0.0556035441919309,1.0034252376734869e-06
Y624,AT5G10200,0.0922466095430322,3.089925400878056e-07
Y624,AT5G24850,0.0466071732118672,5.036814760386144e-06
Y550,AT1G13080,-0.0002082105161868,7.948908336273355e-07
Y550,AT2G23610,-0.0001346559137595,3.412885186631746e-07
Y550,AT4G18593,0.0019071885733498,8.75539987083627e-07
Y550,AT5G24850,-0.0008775716979061,6.769041136607726e-08
Y550,AT5G25230,-0.0003520672965231,5.503336871017736e-07
Y550,AT5G47800,0.0010795606019978,4.1357471143362566e-07
Y110,AT2G20440,-0.0192129370798354,5.789721573859435e-06
Y110,AT5G10140,0.0009522560023599,1.1477261402214038e-08
Y110,AT5G63120,-0.0132949802525895,7.363199448783685e-07
Y753,AT3G30320,0.0666601454370251,2.3687714242067618e-07
Y629,AT1G07480,0.0939984371311283,5.289176540426419e-07
Y629,AT1G20225,-0.0300013074636872,6.179470698423431e-07
Y629,AT2G01220,-0.0464607474689366,1.509775207632916e-06
Y629,AT3G14220,0.0223134424190363,1.3897514574785594e-06
Y629,AT3G23050,0.0057960411760762,1.715058572189076e-06
Y623,AT1G70200,0.0316267960157696,2.8084034379783656e-06
Y623,AT1G80555,-0.0835252094389829,1.669183885478551e-06
Y623,AT4G20210,0.0034767590697633,1.892101283504445e-07
Y565,AT1G06380,0.0845789738736,2.0493243328546925e-07
Y565,AT1G70720,1.6279856230899594,6.913305311031862e-07
Y565,AT2G22920,0.0055940763645776,1.0021766267612652e-06
Y565,AT4G00270,-0.0256270746943347,5.0592185334636595e-08
Y326,AT1G78840,12.67151540523774,2.297224568315939e-06
Y611,AT1G23880,0.1237590364546469,4.594737725014049e-07
Y611,AT1G59700,0.0131670330536013,2.6557186407273165e-08
Y611,AT2G16810,0.8683918075932568,1.814070249221101e-08
Y611,AT3G17780,-0.0411951229895438,1.1836482289029763e-06
Y611,AT3G25719,0.0333691517643954,9.186716738400072e-07
Y611,AT4G00005,0.9264611487078864,2.1627603028051018e-07
Y611,AT5G47800,0.0448961301633519,4.148882570364085e-08
Y544,AT3G50210,0.0002022061478087,4.7859598823459415e-08
Y544,AT4G00270,-0.0002554658666391,1.5056732647376245e-08
Y544,AT5G45870,0.0310065316092341,1.0796607479572792e-06
Y630,AT1G20225,-0.0369138604038089,1.3243224871740573e-07
Y630,AT1G31820,-0.0563616998439332,1.8163542153655448e-06
Y630,AT1G45015,-1.729446031841104,1.5828604054877206e-07
Y630,AT1G47915,-0.9578894777415566,1.6358423561461165e-08
Y630,AT1G47920,-0.1257718848349805,6.6941936978033e-08
Y630,AT1G78320,-0.1160989280651521,1.4338412921907876e-06
Y630,AT2G12935,-0.1455283950837778,3.2413940420207924e-07
Y630,AT2G19050,-2.6553087473592014,1.3580743043479623e-06
Y630,AT2G26120,-3.975219968049482,8.190851692114382e-07
Y630,AT2G44210,-0.0102829355483945,6.974349595879687e-07
Y630,AT3G45940,-0.0864587305702702,2.326564481435925e-08
Y630,AT4G01890,-5.68388687594159,1.2938987329602665e-06
Y630,AT5G11290,-3.537498984445594,3.825789239380291e-07
Y630,AT5G11410,-0.4491524673906978,1.211713645181889e-07
Y370,AT1G06740,0.4343757705895288,6.134808599522577e-09
Y370,AT3G11680,1.0834456005555158,6.651714361030272e-09
Y592,AT1G14890,0.0003767013144002,4.969845753352105e-12
Y592,AT5G24850,0.0004280222856934,3.731246570565971e-10
Y131,AT2G20440,-0.0132067706273224,6.722303085914242e-06
Y576,AT1G14890,0.0004977836144297,3.5776141350611448e-06
Y576,AT1G14930,0.0027090671778942,2.7056806545068265e-06
Y576,AT1G70200,0.0004157700934804,4.798731603585927e-06
Y576,AT5G20450,0.001601765948834,4.142537903559657e-07
Y576,AT5G22860,0.0004184178909207,4.285870113189533e-06
Y598,AT2G47680,-0.0011143972736477,8.593693755121281e-08
Y602,AT5G24850,0.0011249381205687,1.8205622523284697e-07
Y608,AT3G13680,0.5414773721606272,3.169788080248077e-08
Y705,AT1G09530,-0.0057265407182939,1.4757405048136883e-10
Y705,AT1G23460,-0.0142213376028669,1.158583496213604e-09
Y705,AT2G20440,-0.0193707020051901,6.148161012912699e-16
Y705,AT2G45660,-0.0011196907206901,3.0413808468573074e-14
Y705,AT3G05670,-0.0082501226687923,2.416601640006321e-09
Y705,AT3G10150,-0.0237053472933642,2.494418746516478e-08
Y705,AT3G19150,-0.0077534135246604,2.4370413673681542e-08
Y705,AT3G52480,-0.0159314849180724,1.6038615392382327e-08
Y705,AT3G57920,-0.039216700942149,2.378981601884201e-12
Y705,AT5G10140,0.0004531705307921,1.6300355062945253e-14
Y705,AT5G25900,0.0023984265015401,6.58236780446426e-08
Y705,AT5G63120,-0.0144197793426723,7.094588739845771e-18
Y705,AT5G67520,-0.00423501569966,4.4465739342415195e-08
Y572,AT1G14890,0.1312951048198197,1.4359842080459192e-08
Y572,AT3G20230,-0.0591010507405453,7.89962827065969e-07
Y572,AT5G11290,-8.460152947670064,6.699206377377327e-07
Y572,AT5G24850,0.1410159980633444,9.163825767049452e-07
Y572,AT5G52420,-0.106407452874056,2.043438410070825e-06
Y135,AT5G10140,2.6559698299392117e-05,1.921550573372659e-06
Y596,AT1G14890,0.0006303931556993,1.4188983351040604e-09
Y596,AT1G61990,0.0006485083003177,1.838152904708858e-07
Y596,AT3G20230,-0.0002874167968898,8.550449273782964e-08
Y596,AT4G00270,-0.0005809368225799,1.2656948612423426e-07
Y596,AT5G24850,0.0007139821898363,3.020999960996978e-08
Y578,AT3G29410,-0.0017144608765204,1.7373437205869376e-06
Y578,AT5G64880,-0.0012381868246026,6.766003844738134e-07
Y701,AT1G09530,-0.0299322825914987,7.927504263983341e-09
Y701,AT1G23870,-0.0115703341211906,3.173667190069888e-06
Y701,AT1G35180,-0.161005307449696,3.2230514248115697e-12
Y701,AT1G73065,0.2218154868440204,1.9787595184506058e-06
Y701,AT1G80960,0.0336553036953588,2.676146944893877e-08
Y701,AT2G20440,-0.0961519658292511,8.385859990382743e-12
Y701,AT2G32870,-0.0030173338910605,3.759976787784145e-06
Y701,AT2G45660,-0.0056817409135558,3.3794882037272236e-11
Y701,AT3G02780,0.0159027949525575,4.1960851000763286e-08
Y701,AT3G03830,0.0890164020453985,3.774240503543748e-06
Y701,AT3G05670,-0.0398724185743434,1.961989471841421e-06
Y701,AT3G10150,-0.1215362279239178,3.565514094735737e-07
Y701,AT3G19150,-0.0377661641042824,3.388542952632789e-06
Y701,AT3G52480,-0.0898639072258892,1.4999568614547414e-08
Y701,AT3G57230,-0.0410390544196462,3.4198372148923897e-07
Y701,AT3G57920,-0.1650505058057918,2.862696843165033e-07
Y701,AT4G08160,-0.071919710273658,9.902989183484551e-07
Y701,AT4G17080,-0.0291981432821305,1.3182355253222212e-06
Y701,AT4G24540,-0.0306504646023697,2.2547430945018527e-09
Y701,AT4G33625,-0.0122914923170389,3.218261256783907e-07
Y701,AT5G03560,0.0401892147550924,3.1962339032785805e-06
Y701,AT5G06250,-0.2966899717039711,2.7197847638203117e-06
Y701,AT5G10140,0.002225126661081,3.3205184040804766e-10
Y701,AT5G19440,0.0093518428381724,2.771234901688601e-06
Y701,AT5G24150,-0.0048764362114243,4.790409826122991e-08
Y701,AT5G25900,0.0142661753954176,6.633913837841731e-09
Y701,AT5G49360,-0.0012988790383597,2.651020665738717e-06
Y701,AT5G51630,0.0179415477381912,1.7482949035949476e-06
Y701,AT5G55120,-0.0164179025865427,1.340349719551687e-09
Y701,AT5G56380,0.0147012955185859,3.934912489628697e-08
Y701,AT5G60910,-0.0594683561842951,6.561967671175846e-07
Y701,AT5G63120,-0.0980603467889168,9.315577351397208e-23
Y390,AT5G10140,0.069169752328089,1.0964659627266748e-08
Y390,AT5G63120,-1.6446902623602648,1.0078074149513974e-08
Y634,AT1G20225,-0.0270982633329503,5.329288625230735e-07
Y585,AT1G25260,-0.0004664770371013,2.804800788542439e-06
Y585,AT2G16370,0.0005597616495722,2.635553743087544e-06
Y585,AT3G13580,-0.0003642584541108,3.666500668761298e-07
Y585,AT3G20230,0.0003218890639827,2.584653494957192e-07
Y585,AT4G38360,0.0008535377824152,1.0952618985797208e-06
Y585,AT5G20890,-0.0003884012754003,1.8712524916403143e-08
Y585,AT5G24850,-0.0007908180642585,1.1272602717886409e-07
Y126,AT2G20440,-0.1092199035023129,4.199609312496199e-09
Y126,AT5G10140,0.0024878053308557,4.791526918715869e-07
Y126,AT5G63120,-0.0529742984011521,8.242182521702091e-07
Y559,AT1G70200,-0.0193971387646385,7.608621271405718e-07
Y559,AT2G16810,0.6005153790046054,3.6703999150573702e-06
Y559,AT4G20095,0.8259044666552063,1.1271363963270998e-06
Y559,AT5G10200,-0.0505108495208864,1.330155867790251e-07
Y559,AT5G18830,0.0400406276934241,1.5950127936675957e-06
Y559,AT5G20890,-0.0134800047593182,2.1878286494071253e-07
Y559,AT5G24850,-0.0283975873662095,1.3038045882561358e-07
Y559,AT5G51795,0.13188632535672,2.9014181397496145e-06
Y553,AT1G68610,0.0288219290715471,7.645092661661842e-07
Y553,AT2G30615,-0.0379917830838824,3.545078272129114e-06
Y553,AT2G42485,-0.0020812473607252,3.473121675821504e-06
Y553,AT4G16545,0.0359186638713917,1.1291766406456694e-06
Y553,AT5G10200,-0.0010784244530653,3.514355801568273e-07
Y553,AT5G15350,-0.0001030708816764,1.8702350628949105e-06
Y553,AT5G18830,0.0008616721827895,2.9585145528755182e-06
Y553,AT5G24850,-0.0006308382519905,1.403666985012217e-07
Y553,AT5G47800,0.0007645508613758,9.357095160635724e-07
Y553,AT5G64010,0.0004901575169238,1.50430537710182e-06
Y627,AT2G22800,0.0454560094118094,5.18325956552821e-06
Y627,AT2G47680,-0.0585361030748724,1.9585628987016047e-06
Y627,AT3G07130,0.1754154535985028,3.5266781148055373e-06
Y627,AT4G20210,0.0044462599366846,6.20682000051234e-09
Y627,AT5G24850,0.0521309554540342,3.366326780193777e-06
Y620,AT1G14890,0.0580149835761471,1.1604127242371152e-06
Y620,AT1G16900,-0.0630372512755034,1.735958023383572e-08
Y620,AT1G20225,-0.0431090168316355,6.31810259118024e-07
Y620,AT1G45015,-2.0643933846804705,4.046067361878328e-07
Y620,AT4G00525,-0.3915029890698697,1.132225410572961e-06
Y620,AT4G02900,-0.2553689303036336,1.23420356194261e-06
Y620,AT5G11290,-4.970437042833154,6.008198654878954e-09
Y620,AT5G11410,-0.5268787412538715,5.101985535880028e-07
Y94,AT1G27340,0.2279268259721947,1.339526770228431e-06
Y750,AT2G28305,0.0061278910892765,1.260362789892336e-06
Y119,AT1G66970,0.0017372057659067,4.451191261762424e-07
Y119,AT2G20440,-0.0907769569919788,2.470804496048915e-07
Y119,AT3G53170,0.0852584626273603,6.941924020109542e-07
Y119,AT3G57110,0.4219683316134167,9.863254585846078e-08
Y119,AT3G58070,0.2024362394009539,5.642572871722364e-07
Y119,AT4G11690,0.3092703265536899,6.26705932019846e-07
Y119,AT5G10140,0.0028620553976601,1.765526075484409e-07
Y119,AT5G44400,0.0285517263157214,9.281313352576248e-07
Y119,AT5G63120,-0.0592505207361254,1.914168309490181e-08
Y554,AT1G14890,0.0388692694846557,1.6483651989081042e-06
Y554,AT1G20225,-0.0291732456537123,7.931090171631059e-07
Y554,AT2G04340,-0.0774675009234835,4.885342321204944e-07
Y554,AT4G20210,0.0032771969237013,2.083475295700529e-06
Y113,AT2G20440,-0.1820646221363986,2.753752715809621e-09
Y113,AT5G10140,0.0057963815001912,4.143956972574135e-10
Y113,AT5G63120,-0.1039918436650403,8.676362075450291e-09
Y48,AT1G04880,0.1041842156495943,3.7675868404431686e-15
Y612,AT1G23880,0.1613218823380722,1.2338726437341238e-07
Y612,AT1G59700,0.0156705119196852,7.55272307955733e-08
Y612,AT3G16090,0.0691924940390392,9.97519969055908e-08
Y612,AT4G16545,2.30229555446834,3.030742282350065e-06
Y612,AT5G18830,0.0592174125399702,4.512646038922317e-07
Y612,AT5G20890,-0.0185306887325331,2.774153591343349e-07
Y612,AT5G24850,-0.0469444811457018,1.4188609420704588e-09
Y618,AT1G14890,0.0520415406667429,2.4616819778431525e-07
Y618,AT1G31820,-0.0620726317548356,4.935075074599803e-07
Y618,AT2G04340,-0.0954279819368065,6.026774841427953e-07
Y618,AT2G44210,-0.0112224080628562,2.168952306535575e-07
Y582,AT2G47680,-0.00062613492624,1.859239941771938e-14
Y121,AT2G15080,0.0244927288645776,1.529104312700598e-07
Y121,AT2G20440,-0.2049346470651716,7.6211519460057e-08
Y121,AT2G28550,0.0190061103170851,6.196236232451621e-09
Y121,AT5G10140,0.0077726277418192,1.4352450786162354e-10
Y121,AT5G63120,-0.1471337197110167,1.1767537188649432e-10
Y588,AT3G22750,-0.2083507727785179,7.585726777341584e-09
Y588,AT5G63120,0.5322122769018316,1.9168303352966256e-07
Y566,AT1G13110,-0.0009543776002287,1.2765686151461938e-06
Y566,AT3G29670,0.0079181718354925,3.583032150906698e-07
Y566,AT3G58070,-0.0334750425491726,6.237708873485744e-08
Y566,AT5G11290,-0.4205253980151048,6.972117354625573e-07
Y566,AT5G65050,-0.0026502195266751,1.3314385464971752e-06
Y639,AT2G01220,-0.0425108794107643,1.8548064669969056e-06
Y639,AT3G14220,0.0209709785480685,8.80614750256678e-07
Y379,AT2G22330,0.0040845266423984,1.3929972885045211e-06
Y379,AT4G13160,0.009887621765723,2.9324355797822583e-06
Y633,AT1G29550,-0.1746404074021955,1.022976928458861e-06
Y633,AT1G31820,-0.0639600176261352,4.21565942131907e-07
Y633,AT1G47915,-1.1282956643062163,2.571022314736286e-10
Y633,AT1G47920,-0.1482556453266586,1.417035219751216e-09
Y633,AT2G02640,-7.007542866238359,7.315630157513721e-09
Y633,AT2G12935,-0.1567906480053807,2.1231001798525825e-07
Y633,AT2G19050,-2.9349763385608254,5.193739735926715e-07
Y633,AT3G45940,-0.1122154195377687,1.0566186651062923e-11
Y633,AT4G00525,-0.338033522112914,1.186981817465348e-06
Y633,AT4G01890,-7.520334010897908,1.112062431055121e-09
Y633,AT5G11290,-3.887878014224664,1.4741697228905413e-07
Y633,AT5G11410,-0.4742214851131318,2.093218588618725e-07
Y530,AT4G22710,-6.207103387306226e-05,1.3120322093163437e-06
Y547,AT2G47680,-0.0007463252199019,8.550806929142553e-07
Y547,AT3G20230,-0.0002821691841063,8.548814370516981e-07
Y601,AT5G10200,0.0016594251539111,2.029440395983342e-06
Y601,AT5G24850,0.001018468620679,1.9496639608747442e-07
Y575,AT1G17940,0.002730064928729,2.0787283252783382e-06
Y575,AT2G28020,-0.0388151366117102,8.570173061235639e-07
Y575,AT3G22750,-0.0015238858505952,3.804021141447714e-07
Y575,AT5G63120,0.0044605944517498,2.048765254104802e-07
Y132,AT2G20440,-0.1089657989465582,4.253918038518127e-09
Y132,AT5G10140,0.0024877913105784,4.796860242422994e-07
Y132,AT5G63120,-0.0529961924141179,7.868484838758181e-07
Y591,AT1G07480,0.0509820837145975,2.4737621583384456e-07
Y591,AT3G13190,0.0406743151282052,2.4106808681643035e-07
Y591,AT3G13680,0.3806555384059362,7.083264766085673e-08
Y591,AT5G22860,0.0194690603124007,5.937374794063661e-08
