y_ID,narrow_sense,bonferroni_5,perm_5,num_individuals,num_significant_pvalues
Y589,0.8185704266812563,2.168350752417712e-06,3.2787479332661888e-06,327,2
Y567,0.9259315390280404,2.168350752417712e-06,6.444476787977594e-07,327,21
Y1270,0.2329764149841048,2.168350752417712e-06,1.2379845463056914e-07,42,0
Y560,0.6011671853306437,2.168350752417712e-06,4.784729752862361e-07,327,4
Y127,0.275421887378235,2.168350752417712e-06,7.468938730640718e-06,88,1
Y584,0.706816749235748,2.168350752417712e-06,2.9886141625982585e-06,327,10
Y44,0.3798076601669485,2.168350752417712e-06,8.904885945430189e-06,25,0
Y614,0.8557940541828734,2.168350752417712e-06,4.503250709264966e-07,327,1
Y39,0.3826321986019684,2.168350752417712e-06,7.618754576819986e-06,29,0
Y552,0.7958196502388172,2.168350752417712e-06,2.9333421997731524e-06,327,12
Y558,0.3489909287998261,2.168350752417712e-06,9.509314108893326e-13,327,0
Y626,0.848793308227703,2.168350752417712e-06,8.25177941843706e-06,327,6
Y597,0.8615750419977749,2.168350752417712e-06,5.319414079348818e-06,327,8
Y579,0.559288111473154,2.168350752417712e-06,8.56846177405212e-06,327,6
Y573,0.6461911333053446,2.168350752417712e-06,1.360801508897508e-06,327,14
Y607,0.31567733755914,2.168350752417712e-06,9.991315900804543e-15,327,0
Y635,0.6000207700455839,2.168350752417712e-06,2.668153041877476e-06,327,1
Y391,0.2882559101268343,2.168350752417712e-06,2.3825231922367083e-06,281,4
Y28,0.9999546021300916,2.168350752417712e-06,0.0,27,0
Y605,0.2728742187689461,2.168350752417712e-06,1.2342333098819393e-17,327,0
Y702,0.9093188409024416,2.168350752417712e-06,2.263810537343297e-06,613,23
Y22,0.2021813320865821,2.168350752417712e-06,1.452703437433814e-06,27,0
Y595,0.6797682177803515,2.168350752417712e-06,1.1140437201270339e-10,327,1
Y571,0.2045147592711127,2.168350752417712e-06,1.8715134521812768e-06,327,2
Y637,0.6400518722588452,2.168350752417712e-06,1.7764832911282648e-06,327,1
Y294,0.4933740266957773,2.168538838530598e-06,7.823961652961875e-06,59,1
Y549,0.4966655281341075,2.168350752417712e-06,1.820008080668975e-07,327,2
