seed,min_p_val
247279,4.48065362470376e-05
854613,7.304686626893226e-05
284796,3.401816691272757e-05
269613,2.7850880618636462e-05
524423,4.562215805501789e-06
475004,0.00020880530377551614
641808,0.00025766354550678155
525719,0.000535988422489293
656840,1.1547445099293829e-05
175744,2.081569370527756e-05
594392,9.204735130281342e-07
165221,1.994475607982784e-05
76521,4.852468858171381e-07
308102,1.4543781599371268e-05
657379,6.654287922946315e-06
255622,0.00021670958802490035
440789,4.6601956786440166e-05
319075,0.00013643871287635895
107922,3.689012849683434e-06
557009,6.817381495868047e-06
682033,8.845462522217526e-05
942847,4.5814627952670215e-05
5601,1.8136712443101601e-06
156493,0.0004327951124527896
527707,0.00015644732453159261
79094,9.976242370871384e-05
304762,0.00013113679541807614
191692,5.439737292502446e-06
493987,2.0785773622185225e-05
318375,2.166019870415747e-06
296083,5.9952061119953375e-05
840115,1.5953185438358826e-05
476108,1.0924418880284146e-05
322612,8.27258527916764e-06
560207,7.260119685300766e-06
931914,1.5132481751857272e-05
442777,9.926605718373663e-06
855088,2.390022209846982e-06
592090,8.435450622273304e-06
227082,6.918107010009377e-05
835411,7.487930123841076e-06
205007,2.0427705792829037e-05
278918,0.00010292175608100103
651091,8.527764365692152e-05
62679,2.2480151259038042e-05
212066,1.8153503169844265e-05
464996,3.026414531663059e-05
761101,0.00042525969200436667
843815,9.86368150465152e-06
300449,2.7513520981678685e-05
985087,1.0923411551390108e-05
192033,6.902316592164624e-07
395919,1.503672589990552e-05
148086,7.5134637051183086e-06
580862,1.4999361151932238e-05
476257,1.4934514799334092e-05
88674,3.4704679087301086e-05
321015,6.661930517970268e-05
475070,2.235699301587559e-07
127039,0.0003357151272125333
639726,3.4571332071419388e-06
472581,2.1919417518325785e-05
772109,1.610846519916053e-05
265048,0.00013050684189474062
489931,1.828584994015127e-06
99515,0.00016412568319625865
230015,2.985357788597003e-05
24394,0.00042342515623366897
865650,0.00015639101254466073
68084,0.00021053121325230763
263083,0.00024064556763834326
586077,0.0001543557522185228
134885,1.77791655209079e-05
577259,1.9240383966655646e-05
647254,1.6352815358358354e-05
348945,2.438737854675426e-05
878902,1.9808076525875595e-07
104025,2.1511305629144463e-06
663649,0.0005347936664788585
725376,2.284384090231564e-05
620655,4.6084787361207376e-05
273562,0.0002763389625539652
584952,4.371929692730111e-05
334924,4.838703772306602e-06
20811,2.1814732105408574e-06
353721,3.7377388197492324e-05
822995,3.461403926814934e-05
203284,1.6573167949807513e-05
301004,0.00010622996911519122
755570,4.862149959448046e-05
738777,1.1164338207019824e-07
844832,0.00011023856515275701
946422,7.575063950996771e-07
414514,0.0001412666306677137
26430,8.714611483250187e-06
487902,1.0888661436018226e-05
504636,3.2347530569001506e-07
629313,3.490575698150166e-05
612726,0.00017439863484300312
98937,5.143403633636654e-05
