seed,min_p_val
227079,7.40147669048941e-06
469552,2.2806754458437765e-07
576153,9.046889656169067e-05
513615,5.6290680667657795e-05
345657,2.5065437822354307e-05
408158,0.00011201073590811885
130644,3.993446466775208e-05
402351,8.789219130912222e-05
494503,3.472349472665632e-05
926297,7.245799300947707e-07
383324,1.1310385210149674e-05
924627,7.548552957079802e-05
507419,4.581504039266878e-05
664799,1.2163982306836774e-05
809380,0.00023919129664066424
547843,3.960805220592048e-05
813049,2.119706566374963e-05
220606,8.218699087274674e-05
462838,2.5202549206113855e-05
481448,0.00014006226017131013
614236,0.00010502707445471336
962589,0.0001035189431436129
953020,0.0004638914630286633
189950,9.479428551872754e-05
998739,0.0003448936110607441
441263,5.070357349823503e-06
899359,5.016748185532777e-06
171016,4.606341412720948e-06
283932,4.8369675764342186e-05
581363,1.3572049201249598e-05
855289,8.653448899651774e-05
416577,0.000221800322153905
617039,0.0003695189412969803
202479,0.00011198248795826337
138449,8.746531248870332e-05
584889,3.87352487386604e-05
725445,0.00017064807332715985
441974,0.0002728314416684649
571648,7.989339672502474e-05
614368,2.268967758055832e-05
23918,7.801641703500062e-06
785706,8.782045083644937e-06
103739,1.0036250859762693e-05
287501,4.4827984433494325e-06
375970,1.513540140006886e-05
257959,4.566294569130634e-05
752993,1.0105687802902083e-06
628184,0.00015998689097389198
308428,3.4758115102454554e-05
445432,5.9252056916834325e-05
541363,0.000311543483791449
612464,8.38535079809363e-05
910639,0.0003868016885438373
168043,0.00026775585458396566
740524,1.6518938852393344e-05
102778,8.1306856423333e-05
438494,0.0003631051870566255
159391,8.435703370878676e-05
306001,3.443701800820889e-05
227315,1.3190880220567469e-05
933414,5.31187787918821e-05
982074,0.00036303688673013334
469668,6.952810048963602e-05
628798,0.00032828278714707403
229272,0.00010931854951247105
879410,8.399067711788993e-05
954119,0.00011235908455402799
230376,0.00012208539214305828
191558,2.3495753757817484e-06
475216,1.91462074719228e-06
343837,0.00021295196055128723
809655,5.838025936314322e-05
760341,3.400711612619991e-06
124693,3.804987121072166e-05
330295,9.359221284199482e-05
54545,1.2345304844300147e-05
317883,0.00010621412560875316
2815,7.350347134486265e-05
944012,6.433270267302015e-05
204411,0.00047376259352265303
426472,7.096533709232603e-05
224965,0.0002929301159419518
166850,0.0003147279394076025
447181,0.00022280168830823846
492781,1.597587128853391e-05
929581,2.5056748816158747e-05
276374,0.0002880337432189012
289016,3.883026271969747e-05
820725,1.3382522117482033e-05
265671,0.00034503543843426014
681485,3.0881550270516605e-06
25563,0.00014209859858997282
176334,2.0283523234784254e-05
414522,9.707732826624091e-05
577247,7.796553940529673e-06
735535,5.9948936253490334e-05
643902,0.00011722706423590003
367625,3.8207434498014525e-07
445506,0.000292083515026014
246932,2.7109391489613907e-05
