seed,min_p_val
124500,5.9306379330163456e-05
973199,2.662528813506792e-05
542629,3.934852422026757e-06
506668,9.362386876296376e-06
7805,5.0143728521768286e-05
706066,2.035998044845328e-05
154386,0.00014559487201570918
450948,0.00015206318619926328
414911,2.537807158902969e-05
634646,2.039167517844904e-05
34190,4.8918497347197044e-05
942281,2.2580537466966292e-05
932344,6.66878010923804e-07
914086,6.35596302087255e-05
81290,2.981323630876272e-05
897947,0.00037069477722381365
388598,0.0001018438825505771
518599,9.464397209695137e-07
909830,0.00016533452890337818
766275,4.000254155840133e-05
893699,6.063265739607563e-05
865850,1.0924663727129155e-05
422141,0.00018910963862320035
907652,8.090708437422349e-05
439143,1.7482114795814883e-07
862674,2.5074163043177874e-05
983797,9.29087035883566e-06
305052,5.87048692736026e-05
35897,0.00010754018107681445
291290,0.00028708233626212505
931608,6.41930692642391e-05
118276,3.424750200115303e-07
748767,4.697881271329747e-05
391414,8.626699023374268e-06
8486,7.544739165683661e-05
811491,4.040102670618395e-05
841368,0.00016201972773950465
150695,1.6488059768235237e-05
603121,0.00030297083951354484
66651,1.2016576239601758e-08
638282,4.979770244874117e-05
208220,1.2286833004373222e-05
635874,1.2995370356167692e-05
454507,0.00011915260880678363
884764,4.167483668295922e-06
243170,9.924853486477966e-07
779201,8.504637350858407e-06
206081,3.5867047509682787e-05
709759,5.072811812121256e-07
332602,0.0008724566306761551
701862,7.374195513661123e-05
891820,1.543991817392179e-05
814593,5.915084718033835e-05
441557,2.1640200984938337e-08
166077,2.5576878743593682e-05
327566,2.3516280827887173e-06
611264,1.4951650508893937e-05
494099,5.372139421434694e-05
549320,1.223920357619743e-06
724401,7.271427900175816e-05
365636,4.236983249415928e-05
741542,4.980719400319928e-05
810840,3.061361923340121e-05
535346,1.8037918716202327e-05
935745,1.2859295497178311e-05
743491,2.4551572742896535e-06
560767,9.783572550674104e-06
854119,5.590373738730489e-06
320740,0.00020227255372234478
250198,0.00016065904681723217
901596,6.856591437725926e-05
453362,2.730186012414044e-06
677341,0.0002726468927215875
166431,3.2999411250715245e-05
99892,0.00011333649060663145
342598,2.413561688457819e-05
533619,2.069362754064089e-05
59489,0.00012683701319360266
987847,5.775854692571678e-06
27415,4.396483309893306e-05
500985,0.00024164039486002182
897269,2.5184719424371934e-05
386647,4.276441771102273e-05
684992,2.6229592808963006e-05
135635,1.965037295464866e-06
79425,7.352822220016889e-05
853704,7.315991615153512e-08
432344,1.1450159695408992e-06
104060,0.00013374075678524344
651743,0.00011394550140717231
336380,6.566770425058873e-05
155740,1.5009662918558053e-05
324794,9.366493007408732e-05
733441,0.0005891241345354626
588777,2.0646841202762167e-05
338270,8.457725994900201e-05
706861,0.00015967773994412463
23036,4.822265054313497e-05
97289,1.582137492879005e-05
980599,8.532050941080185e-05
