seed,min_p_val
391754,6.234862583602557e-05
854204,3.2491577393684727e-06
751445,2.624627794838274e-05
645078,9.479419098664017e-05
59088,1.0682663926446449e-05
608735,2.267547992105472e-05
641325,8.523524872231979e-05
450933,1.6764577449615008e-05
99637,8.283006742610918e-05
996724,0.00016382544097300573
709630,9.937449460545042e-05
448378,1.4211885546276656e-07
957751,3.1024908619714705e-05
56564,0.0003651395565752913
360347,0.00021186540480953232
754129,5.43953301021028e-05
445879,2.0582201353121904e-06
770467,0.00011214586943237336
24240,1.912156368793431e-05
267107,3.6262589181255846e-05
84817,2.5551467850708488e-05
864169,1.989581606915831e-05
699057,2.293751219715684e-05
198710,0.00016776638814843277
98042,3.0804293125260276e-05
838740,7.791345838556825e-06
714650,8.171615026866322e-05
21768,0.0005104831320967252
912019,5.605213762850347e-05
231123,4.30072753905981e-05
509287,6.096473787998593e-06
807735,1.728092379105937e-05
372042,1.542647898690102e-05
974718,4.5005097721520905e-05
333868,1.7887235205948813e-05
785351,6.022292649718135e-05
730258,1.287560412071322e-06
750031,1.3411393108426578e-05
428853,3.479187418060003e-05
159950,2.0012745188388468e-05
540338,0.00010624243471765806
689401,0.00012780024950884128
906568,2.8322407994903874e-05
623960,6.13918639083116e-05
351715,0.00031285290916945415
630453,1.2777940205706277e-06
858740,3.348450596835308e-06
208121,9.543528543794311e-05
993745,1.4768134441853087e-05
584727,0.00021513976329808187
19682,1.033248647728734e-05
51508,2.364935499786004e-05
607882,4.946803916425783e-05
522541,6.049427336400471e-06
422894,2.004594947972979e-05
660918,1.9109594998096853e-06
495986,3.4989079899324725e-05
513460,2.574627229039584e-06
435156,4.376412247273058e-05
478820,2.207010509155074e-05
87456,5.74049214343444e-06
532649,5.954928569708057e-05
147108,0.00010861393171923366
199523,9.286535013753053e-05
97638,9.02959194851532e-05
132642,4.441708989035397e-05
684587,5.98400322382095e-06
318573,5.8243810689972416e-06
167783,4.253713854498537e-05
522789,2.6107224849134296e-05
279898,2.5752962711804884e-05
867694,0.0001964952230686453
253003,8.296494829558432e-05
173413,5.143732715025398e-05
394539,0.00017379235173123784
524686,0.00014351523386502588
667601,3.280780881085056e-06
469115,7.912761438034102e-07
88864,2.530434346415958e-05
379216,2.278825952680139e-05
977313,8.41991467067776e-06
209355,2.8108176404556218e-05
738606,1.0105951930453189e-05
238971,3.398686587902491e-05
288559,8.071273325350178e-05
508985,3.5926150603588785e-05
898066,0.0003113875402854682
97204,4.2140602764873286e-05
387107,7.368732618478632e-05
65622,1.6245560616041285e-05
845034,2.6520401706367264e-05
587147,6.800057917013954e-05
466950,2.7713450708678062e-05
555298,4.859882844239226e-07
639384,8.89103125429353e-06
722279,3.691049501498635e-06
552589,4.8189904653315206e-05
804634,5.438242788469761e-06
844786,7.271690682582126e-05
168824,4.918818466692619e-05
