seed,min_p_val
537170,9.563733932140539e-06
303105,2.2508825110298042e-06
327351,6.153532105866165e-06
63562,1.9503753654452063e-06
382823,2.0539234157283316e-05
93031,2.2428955023843198e-07
415275,1.6285958295725878e-05
40950,2.1439781659971933e-06
952423,2.4513488040645606e-06
889882,5.685283344073478e-07
37606,1.151461882188333e-06
866414,9.16834051747719e-08
804637,1.2527796455635448e-05
674128,2.8948494751677813e-05
604367,5.397015478668741e-06
371507,5.077094233888445e-07
776107,8.855764201344953e-06
629892,1.958203154316977e-06
746162,5.233667780489606e-07
755171,1.826403631428372e-06
587522,3.8937505821205187e-07
858350,9.662629318697799e-07
962562,5.057632597528122e-07
606378,1.2452700423754002e-05
46464,1.5524896211939947e-07
65253,2.4983808889360974e-05
809853,7.07527955233525e-07
211447,4.047483277869288e-07
557624,6.640821509563523e-06
535264,2.91396639144595e-07
329885,0.0001566611353728576
315487,6.906263227810537e-06
637914,5.539347524196126e-07
630150,3.00397843702118e-05
303649,1.1743979764431383e-07
116435,3.803376492626864e-06
33069,0.00015305627444339717
24369,1.8119453622123814e-06
57874,2.9622281456022924e-08
758936,1.0153092515933546e-08
228762,1.0112162530725587e-06
346455,1.2439170691016052e-07
596970,1.616889645840737e-05
514274,3.371969547350367e-07
211838,9.938193657271108e-07
541120,1.3088894021865718e-05
393225,1.936786845235344e-06
923929,1.3727006526265361e-06
753562,9.299850606129594e-08
874241,2.4615258876013275e-05
485905,4.744396223683626e-06
377302,1.3513938983952334e-06
933622,1.7334870705664328e-05
790259,1.2548959744875194e-05
119733,3.605090864571046e-06
914151,3.7409496167094256e-07
708972,3.763077347692504e-09
743689,1.7034182002969653e-06
153785,3.574853126015788e-05
670558,1.848264631306224e-07
814348,1.4109932359655877e-06
455626,9.081399461934995e-08
287091,3.594696653849448e-09
429942,3.7486226355615015e-07
359043,3.146747980384516e-08
583363,9.516447107883496e-05
302182,5.841879058587945e-08
268982,1.0887492346301887e-05
564451,1.1069629085250594e-05
296088,5.403515986747014e-06
772224,1.6188001024807897e-06
173400,3.189275669447875e-07
695188,7.34780094967047e-08
924473,3.088288450916042e-07
435225,3.042486917080267e-07
528961,2.884474678616619e-05
945850,9.097028441492434e-07
448565,1.230237595141389e-07
549999,6.647551313672958e-08
246459,9.045599676711202e-07
727411,5.23703841580428e-06
894240,1.4458025144920613e-06
459326,1.18684298119139e-05
521010,1.803164583910864e-08
452158,6.367465954607577e-07
135686,1.6776117500654314e-05
141050,8.355151278293486e-05
864610,3.1925025842147538e-06
820355,3.832987691070677e-08
944666,5.714657890215405e-05
672162,1.506608387439907e-07
917562,1.885981754886706e-08
940461,2.8882221197280394e-05
120052,2.5056251006001015e-07
421340,2.2858735991972257e-06
421382,6.405859301106384e-07
31562,6.685076533639175e-05
567502,3.3962011406658384e-08
234618,0.00010801675179774898
846585,0.0001287813903845868
