seed,min_p_val
352258,2.2916367949410258e-05
711501,2.3195087104114438e-07
332290,3.0970011696963964e-05
342952,3.6330594658574834e-06
288909,0.0001234348874246501
465020,4.242502952674477e-07
374192,8.907061656286611e-06
429016,1.1334665046092309e-05
849478,2.183218429805336e-05
831900,2.688396602253661e-05
881613,3.909861227599861e-06
398474,1.1444074307078375e-05
873143,2.670466874169196e-06
150621,7.586427277008486e-05
109467,5.186001512255162e-06
977795,3.346240942174443e-05
750439,2.8704909504778e-06
55953,6.621417750295677e-06
789439,3.5055796119671424e-06
455555,4.660233502617219e-06
111588,2.2219085673469033e-06
585617,2.1145440213033098e-05
527076,1.1310207228683583e-05
927835,1.4097506217920342e-07
359862,1.839712510252429e-05
729494,1.15359501846652e-05
888027,8.122680177438848e-06
766903,6.621576381986965e-06
374358,3.482545054590417e-07
307301,5.310265607920651e-07
503391,3.611867671084696e-07
838068,2.1372202378484503e-05
929203,8.35380330992818e-05
661145,5.264540288926617e-09
72602,1.4273805956340819e-05
724517,1.479825674064914e-07
458610,1.2445176266082177e-05
388579,2.8083877535360318e-05
941903,3.423688491264855e-05
907794,6.041113295199076e-06
3609,6.318374053098138e-06
777766,5.7339613855750866e-05
688035,8.981189542876794e-06
431271,1.6794067476381406e-06
940784,5.690230005443698e-07
576306,1.1207577572726538e-05
789252,6.665195301716058e-07
771004,1.0569618051165773e-05
894431,2.8109808707079884e-08
790625,1.9570454455601678e-07
955969,8.231154959634882e-07
19521,1.0854710715548946e-05
636977,9.84352285866323e-07
167967,3.0606032635968703e-07
475622,4.101351116780312e-06
850036,0.00016860375684960813
632097,5.633178753601249e-05
452241,2.119679628834483e-06
807448,3.481480618180277e-08
733129,3.131579131851686e-05
199675,2.6812024262880323e-05
376138,0.00010820782286644315
649626,1.6448698946770182e-11
796912,5.101873663121091e-06
471005,7.320278360493545e-06
450305,1.226852596808943e-07
587638,1.6689503436616473e-05
204078,1.7869445118737918e-08
639805,1.2151419952125776e-05
138414,5.186322933118031e-05
193010,0.00010870904137338392
298557,7.280637625290027e-06
375290,2.499807653597652e-05
366856,0.0002843840991468196
581398,6.374472151372804e-08
553352,4.6670058046299636e-07
812224,1.917936173136738e-05
777701,2.090432559528994e-05
163118,8.429007700887552e-06
798769,0.0016469863155571037
214286,9.444787725421754e-07
688270,2.2522300356563108e-06
724046,5.144290417019376e-06
659907,9.552263964117097e-06
595755,7.31456248954581e-06
180113,2.1145233227065224e-06
560597,1.350840134788996e-05
9150,2.7685882220465467e-05
379905,2.8411569372309716e-05
411984,0.00018671343203187252
378463,2.0053706128147375e-05
742374,8.628347603118971e-05
56568,1.2634300747105716e-06
944005,0.0004572130519617322
262764,1.1833430735638736e-05
693342,2.5251381739147427e-06
949551,4.541705457106744e-06
788961,1.4411131014718639e-06
442584,0.00042351513561773483
237874,9.920551644217947e-06
