seed,min_p_val
65573,3.5494754012321675e-16
79124,2.1159584708340737e-09
540861,6.286085750836792e-10
202265,1.2828356725782487e-17
76897,7.39341390465432e-13
397382,1.6108303084181932e-07
200682,2.29450347673507e-25
393561,7.632810861811957e-13
882518,3.0163352774690775e-20
439215,1.2206179761613693e-13
490574,2.8254221477168303e-11
419536,3.957567025242836e-15
375181,9.828518873435296e-15
698571,4.3572661417095057e-07
988825,7.197357080181193e-11
748820,5.825544352707633e-13
670726,4.910991109405651e-14
745203,1.598990017693185e-08
19934,2.1417161971423168e-14
317336,1.002868498929071e-08
248037,4.066115587689279e-17
220333,3.7610637003341675e-12
375773,1.4612233518728392e-10
751773,5.911381476084257e-10
422662,2.0099173557292624e-14
450825,6.918793068559921e-16
896944,1.008334578826432e-06
1638,1.997603558247359e-12
704877,4.164046729735397e-10
499618,3.321411192727705e-09
757065,1.3440378570056338e-10
120832,5.460127575670277e-15
131298,7.451845939840843e-11
965717,6.116656516583978e-13
414607,2.843069115914826e-14
774357,7.482514681139305e-09
329124,2.6698176267043218e-11
974756,3.667935702962253e-10
805207,3.0844245810902685e-07
201142,4.124976238484354e-12
701677,1.612158196147956e-06
433823,1.624926306713617e-07
213773,5.411126424258721e-10
557412,1.94653601068031e-09
622466,1.7335841798937064e-15
812224,4.2667563501199227e-16
189264,6.128689529150264e-11
104580,2.7279522979132503e-12
425997,3.1078841865205515e-18
320300,1.069463053814061e-11
600735,3.3842968856012237e-10
733741,1.9029457896136057e-14
351403,5.601152412761044e-10
113598,2.1245299871240638e-14
629170,8.827081897008746e-12
56723,3.3524262081504886e-08
977100,1.0346103112347035e-09
182222,5.152843725973685e-09
514059,1.4256651946506135e-06
394489,8.515666401848297e-16
35654,4.024610602984399e-11
912545,2.1532756790582943e-10
55031,1.2416929578875053e-11
993662,1.0612743004331872e-15
837847,6.1331049502819464e-12
995011,1.9062910808510983e-19
638917,6.762025036052733e-10
572425,6.762260826179395e-10
796020,2.1711390722467332e-13
701104,2.642213901867307e-13
339923,8.043999136138008e-09
894214,7.408218840366135e-14
79196,1.1859787793118185e-18
929963,2.4953081976260696e-11
224878,2.6383035302522346e-11
538190,1.6024440444294937e-14
183465,2.9497847073426495e-12
169433,7.31769856996615e-17
74329,2.4019805167589726e-07
764389,2.021101817023692e-08
2107,1.1919110775684237e-06
665823,2.1467827382996256e-11
903276,3.509027837631529e-13
200052,8.317298738448803e-11
961415,2.408976077587702e-16
828977,6.150674946419026e-09
598863,2.7559242421510853e-11
81839,8.391066489014125e-16
327763,1.3024514201869707e-13
293358,9.558609387696384e-16
308825,8.713812370162136e-15
121402,1.4886926378342407e-09
869052,1.8574666109707125e-16
972788,3.832327774124589e-13
597285,3.078341187194483e-13
82033,4.137860357137272e-13
484221,6.48386654340822e-14
124967,9.822766985077938e-07
911046,1.3178220057987779e-17
399000,5.885074881876692e-10
