seed,min_p_val
238340,3.1199200590633924e-05
684167,4.549117907239256e-05
403029,2.5562746942895125e-07
55902,7.411292312683849e-07
909299,6.119463945696587e-06
755606,1.556191686331343e-07
544001,1.9161422861851744e-05
161893,1.0979971992647136e-05
486118,5.941106611329026e-06
225794,2.821367370999796e-05
23084,6.208403591840524e-05
693086,4.016031234907451e-06
595370,4.862720761621819e-07
509045,2.0595999923468785e-05
523650,8.716946116193897e-07
228406,4.0940589225338366e-05
421131,1.2962210556649867e-06
67431,0.00014719597428366135
477575,7.5926265971363585e-06
685531,5.643197129877689e-06
196484,1.3949894126559236e-06
587160,5.1057863197312866e-05
422609,1.522026928587265e-06
596333,4.644709660774289e-05
15558,1.2004458699714456e-06
576765,6.93025990219861e-05
83318,3.5849678233640677e-06
199993,3.5450280265729726e-05
832033,1.56033921685512e-05
379393,2.5423313150940224e-05
946420,6.521195260569289e-08
798371,4.195494925434717e-06
447940,8.675525621488394e-07
66421,4.796888433127296e-06
537180,1.2414283001760125e-05
263751,9.90337360768765e-05
769770,1.3204193535295433e-05
71829,2.329092174746216e-08
168710,1.0156752113907293e-05
281112,4.203051662536404e-05
373827,1.94330370041592e-05
505344,4.1572433729810046e-07
487464,4.973863242809439e-06
683756,0.0001793420490781439
321296,2.0608237261770643e-06
595492,6.207671082071867e-05
854498,2.0884120336781957e-06
734741,7.683973877551999e-06
26757,1.238617443557664e-06
67505,1.5297008282955774e-06
15437,1.2599485739050434e-07
172268,3.023237281610262e-05
371391,1.6595534519306988e-06
34906,2.8407133109673057e-06
874107,0.00012525788730830315
165007,1.2394810974723734e-06
759324,1.7788627311648258e-05
268271,9.666814606171144e-05
729130,2.9624086827392362e-05
215013,1.9425473169519945e-06
939962,1.2900980806706443e-05
735308,2.7650283041701426e-06
427729,6.641344045674495e-07
263325,8.483100509190141e-06
532972,7.494831526925957e-05
942547,3.415774292748484e-05
956545,5.4876499347092675e-05
942572,2.6918883089641644e-06
243971,2.0536649566207647e-05
537735,5.082736680806922e-05
985224,2.817568444646872e-05
58175,2.812185850448623e-06
239509,4.845243932936401e-06
64364,3.1467035359925496e-08
206119,9.35183908387285e-07
357933,3.210062077386222e-06
376918,1.2989312875958481e-06
46017,6.210897879242159e-06
893726,7.92297110966229e-07
399681,2.821236299339997e-07
712853,1.7428970184112307e-06
516960,6.675383409414614e-05
5172,2.341901102984108e-06
565247,8.479717847604907e-06
877424,7.045627666125115e-05
437584,8.882558964055718e-06
750176,8.914745700723222e-05
678083,9.056056126853228e-07
974724,4.6675931305448324e-05
157274,8.069779461657432e-06
821936,3.473439089826077e-06
961899,2.63801496820809e-06
720395,1.989244085557014e-06
473570,4.3293562659524793e-07
267009,8.967029348172754e-06
575660,1.9513466016724184e-05
997060,7.313755032402533e-08
114964,8.206680219180026e-08
279821,4.689422534483114e-06
758618,3.469384479752097e-06
