seed,min_p_val
614086,3.630593422899762e-15
347116,1.1714383741917395e-11
655971,5.301379813713246e-16
914094,8.003288183137047e-17
266380,9.916176998308748e-09
601654,3.519110050968614e-14
339722,8.938502495416502e-12
629921,5.017352594560319e-11
939854,9.474501122203192e-09
299931,6.154099549455765e-14
102884,1.0197213657042894e-07
835572,3.6673653460349333e-19
697235,1.8168462056774055e-10
685174,2.3617839188368043e-09
974389,6.9953178663380905e-09
357446,1.106862497469735e-14
705296,6.758252212891528e-09
394498,1.5337046349478103e-19
587247,5.149009162019433e-15
860799,1.6042320132229695e-11
447527,8.729773507105657e-09
356448,7.017328844799907e-11
862157,1.7330488626217332e-22
675137,3.763585562450436e-20
766668,2.9613212490783916e-08
857838,5.787719578072439e-12
960897,1.0311242334229008e-09
42897,1.199726004510236e-12
954851,7.127466970524794e-07
850142,1.0024014199262094e-08
553294,1.9245517050303116e-09
757708,4.861457794108358e-17
252771,3.517003232147936e-20
641986,2.2269417176366808e-10
689812,1.981382200904964e-14
40838,5.409367762614539e-11
126735,4.6470755982782734e-07
476520,1.7972841892714007e-08
771631,8.972407736033777e-13
981019,6.902778600607493e-12
870911,3.946809033295591e-09
352563,6.776558743365545e-15
974287,1.6198906297590538e-19
473425,8.546794261803586e-13
995923,3.511696058391888e-11
645250,4.457359745592319e-12
368456,8.425971360279285e-09
676439,1.4887886124068478e-10
96329,5.619565915331022e-10
200275,6.51973271092964e-09
409536,5.999883123833095e-09
196723,1.2030414198939475e-18
433680,4.2449916564888866e-13
218373,3.845328256380984e-15
583941,2.981345954812977e-16
936545,3.980743443890719e-19
721203,4.469635117114473e-12
378969,7.129231847113275e-18
406692,4.562755736176286e-09
595454,5.671506489115708e-19
613242,1.0980521266614786e-11
896392,1.1477982073652725e-19
888055,4.679611821901659e-19
480555,7.984574001494581e-07
831946,1.235539872714586e-19
384134,1.381988217945439e-16
121388,2.21857041168366e-19
350261,1.323914053038535e-15
234401,3.992638330505591e-08
621597,1.458247308828015e-16
331866,1.2960540821513662e-12
406866,4.853923060346188e-09
467656,5.2095800306122056e-11
471046,1.685764359855617e-08
252846,8.162706515682515e-09
181592,3.879349697355681e-19
569042,6.372893207373141e-09
432389,2.6880170600069304e-18
149293,5.1685947629447835e-11
638069,6.030358643089484e-17
366241,1.3088117414233209e-13
887408,2.385065201272423e-19
481213,9.131755782618314e-16
23200,9.027963624942206e-07
944743,1.485037099969168e-06
182828,3.956907584777816e-06
346441,4.719063406736063e-13
139823,7.082378906785292e-13
858552,3.785731786421307e-20
782851,2.4419956668165302e-17
564972,7.724398053449617e-14
654503,1.560562957847361e-09
861012,5.5731365521091495e-09
796345,1.3604581082968863e-11
930588,7.466376147138357e-07
268009,2.6577590016647724e-15
178324,1.1662482125346323e-10
517561,1.1522805030111698e-08
709066,4.214376765065603e-14
352599,2.453566383303634e-19
