seed,min_p_val
451006,2.093119295734639e-05
114755,5.424637666158766e-05
450261,1.7996297830296072e-05
471415,5.678756276700243e-05
625557,5.945487063727404e-05
313617,3.887192480813339e-06
480067,8.053162999233987e-06
593177,0.00010220029604595299
80996,2.60510065719342e-05
857949,0.00017492206990800185
239187,2.415762982262071e-05
635282,4.462212270802308e-06
362867,1.8872905402719162e-05
379281,7.494523683909774e-05
718265,2.4229240053735412e-05
394034,1.7547421706691533e-05
682279,5.116415738911415e-06
648260,6.928756797168599e-05
865947,1.947991152128037e-05
962637,0.00017315285571836822
620605,8.459281928979526e-05
763036,1.2033660437998984e-05
456371,9.910340598221072e-05
785435,0.00012959614630710467
369863,6.429944799508893e-05
348994,5.036366174119356e-06
994819,1.0633582924831905e-06
82507,0.0001517088411454093
19329,3.263895081271991e-05
406088,3.0456866582731424e-05
822586,3.475691227426512e-05
7851,0.00017675195065009898
357963,2.478296081826952e-05
515339,7.267793575052557e-06
686327,1.9491413857228825e-05
650651,0.000322034942904762
439100,0.00018769184638129673
195755,0.0001493363295886585
553587,0.00034600782866978563
179656,0.0004300723655592123
170124,5.4163535678958496e-05
277151,2.8016604094409072e-05
783141,0.00047160628383743073
77592,5.530050335123548e-05
152363,0.0001411990504374679
357747,3.800458261421394e-05
367493,4.726669157031996e-06
130487,0.0008933104024089549
496129,0.00017676239659743912
465896,1.9263574072092924e-05
467473,0.0002883550936164003
608964,5.509743868206606e-05
968900,0.000287391604500739
146937,1.7537938219806674e-05
240216,0.00011451609750315956
501108,3.895915055166889e-05
16481,0.0002021062461430414
321567,4.0341957828536184e-05
280734,0.0001426832695957087
148499,5.295574071393389e-05
608050,0.0005472421817859735
516732,2.4239928406193198e-05
237882,0.00014297267956325392
536324,7.813841446007716e-05
34328,5.869668119983003e-06
51792,0.00019186506879099825
829859,0.00022680331103294078
208630,9.397791112418854e-06
380025,1.8664237976754377e-05
141362,0.0003910391134193396
286446,8.177446679763344e-06
411500,1.1683483993677077e-05
400810,8.307666478175055e-05
549038,0.00028568827390606914
5901,6.428857713712702e-06
106602,0.00022808959528107696
433540,9.656323214968777e-05
13742,8.696169228864182e-06
63924,2.3751137332162955e-05
125155,5.141369262536672e-06
549810,0.00021626059445097422
718146,4.696442333150572e-05
13132,1.3891310962448087e-05
652383,0.00026530013270384005
722169,2.7162518629999042e-05
544111,1.4383456745682831e-05
231286,4.367475026170657e-05
149463,9.220773783987536e-05
185801,9.857604726144999e-05
243672,0.00029739195542207374
310929,0.00021249244301792928
193692,0.00022645687581222996
585170,1.8612100808411383e-05
988628,0.0001642614214112037
975181,2.317475137075573e-05
231587,7.62645691822951e-05
491097,0.0001561041916179714
553082,1.5152373167751562e-05
408553,0.00036622222865790015
483606,0.000239210097261461
